id,price,raw_price_text,product_name,slug,merchant_name,price_type
121520,181.9,"181.90 DH","Masque ultra-hydratant visage 75ml Hydrabio Peaux sèches Bioderma",masque-ultra-hydratant-visage-75ml-hydrabio-peaux-seches-bioderma,"New Era Parapharmacie",has_dot
121589,181.9,"181.90 DH","Soin peeling de nuit doux 40ml Sebium Peaux mixtes à grasses Bioderma",soin-peeling-de-nuit-doux-40ml-sebium-peaux-mixtes-a-grasses-bioderma,"New Era Parapharmacie",has_dot
121602,182.16,"182.16 DH","Gel Creme Peaux Sensibles Deshydratees 50ml Hydrance Avène",gel-creme-peaux-sensibles-deshydratees-50ml-hydrance-avene,"AtelierPara Maroc",has_dot
133022,182.25,"182.25 DH","Cartouche d'encre Originale HP 655 / Magenta",cartouche-d-encre-originale-hp-655-magenta,"Bestmark Maroc",has_dot
133105,182.25,"182.25 DH","Cartouche d'encre Originale HP 655 - Noir",cartouche-d-encre-originale-hp-655-noir,"Bestmark Maroc",has_dot
133160,182.25,"182.25 DH","Cartouche d'encre Originale HP 655 / Cyan",cartouche-d-encre-originale-hp-655-cyan,"Bestmark Maroc",has_dot
133174,182.25,"182.25 DH","Cartouche Jet d'encre Original HP 655 - Jaune",cartouche-jet-d-encre-original-hp-655-jaune,"Bestmark Maroc",has_dot
121967,182.4,"182.40 DH","Soin Hydratant Anti-fatigue Hydramag 50ml Homme Peaux Sensibles Vichy",soin-hydratant-anti-fatigue-hydramag-50ml-homme-peaux-sensibles-vichy,"New Era Parapharmacie",has_dot
144600,183.15,"183.15 DH","Heliocare 360° 50 ml",heliocare-360deg-50-ml,"UNIVERS PARADISCOUNT Maroc",has_dot
144478,183.35,"183.35 DH","Shampooing Fixateur De Couleur Resveratrol Vitamino Color 300ml L'Oréal Professionnel",shampooing-fixateur-de-couleur-resveratrol-vitamino-color-300ml-l-oreal-professionnel,COTEPARA,has_dot
112239,183.6,"183.60 DH","Epson Ruban noir LQ-2090 (8 millions de caractères)",epson-ruban-noir-lq-2090-8-millions-de-caracteres,Technoplace,has_dot
143939,183.6,"183.60 DH","Creme Protectrice Teintee Protection Spf50+ 40ml Depiwhite.M Acm",creme-protectrice-teintee-protection-spf50-40ml-depiwhite-m-acm,"GoPara Maroc",has_dot
